vaccine,28373
covid,16719
19,14939
effective,7115
covid19,7060
vaccines,6901
coronavirus,6901
oxford,6403
astrazeneca,6014
90,3908
university,3184
news,3051
people,2473
trials,2467
70,2322
amp,2276
says,2215
get,2192
virus,1882
pfizer,1816
highly,1811
us,1767
efficacy,1736
show,1696
could,1671
first,1589
trial,1533
vaccination,1521
one,1502
world,1487
via,1457
shows,1412
health,1305
data,1254
moderna,1236
said,1206
take,1189
would,1161
new,1154
need,1132
results,1119
like,1116
developed,1112
pandemic,1101
dose,1101
good,1100
may,1070
late,933
available,917
make,907
stage,904
doses,860
cheaper,846
global,842
distribution,837
uk,813
countries,808
year,807
vaccinated,792
treating,789
monday,767
getting,762
qantas,761
two,755
preventing,752
time,741
see,740
work,736
trump,711
government,708
know,702
end,694
say,686
shown,681
average,659
disease,651
enough,644
many,641
great,635
another,623
flu,618
much,616
going,615
december,612
cases,609
company,605
high,599
still,595
major,595
also,592
soon,589
public,586
international,583
full,582
hope,577
around,576
next,563
read,559
today,555
start,555
americans,550
access,549
likely,549
even,541
distribute,536
travel,536
uniofoxford,534
safe,533
go,528
mrna,528
use,524
oxfordvaccine,517
candidate,514
think,510
easier,503
india,501
science,497
well,497
early,495
way,494
re,488
third,485
months,484
vaccinations,479
help,474
effectiveness,470
want,465
safety,464
back,464
million,461
showed,458
dr,456
latest,455
immunity,454
effects,453
2021,453
developing,451
right,441
3rd,441
scientists,437
long,434
everyone,433
normal,430
big,426
given,426
announced,424
development,421
side,418
speed,410
really,409
live,405
hopes,403
fda,403
rate,403
different,402
promising,401
breakthrough,401
receive,397
month,396
research,395
protection,392
already,390
let,390
covidvaccine,388
plans,388
half,386
free,382
week,374
life,374
ceo,373
plan,373
made,372
coming,369
better,364
2020,357
less,356
large,355
workers,355
please,352
potential,351
look,350
working,349
least,346
95,344
biden,341
positive,338
cost,338
prevention,335
per,334
story,333
clinical,333
must,331
never,328
risk,328
social,327
ve,327
drug,327
used,327
found,324
yet,323
success,323
years,323
stored,322
without,322
ready,320
far,320
give,319
part,319
state,318
gates,315
last,315
percent,315
testing,315
tests,312
top,312
care,309
three,306
airline,305
race,305
bill,305
market,305
approval,303
20,303
phase,303
sources,302
nations,301
lives,297
country,297
stop,293
medical,291
come,291
companies,286
population,283
making,283
pharmaceutical,281
day,280
leaders,280
mandatory,279
dosing,277
reveals,277
best,276
11,276
cold,276
interim,275
watch,275
develop,275
means,274
store,274
system,271
cdc,270
important,269
every,269
fauci,269
rt,267
emergency,267
supply,266
protect,264
shot,264
group,264
according,264
ll,263
business,262
tell,262
require,262
g20,262
99,261
roll,260
anti,260
pharma,260
test,260
flights,260
wo,258
breaking,257
update,255
study,255
immune,255
rollout,255
real,254
got,253
billion,253
china,252
save,250
possible,250
warp,250
10,249
states,249
healthcare,249
comes,248
find,247
operation,247
000,247
low,246
expected,246
might,246
storage,246
lower,245
post,245
change,245
taking,245
keep,245
thanks,244
almost,244
easily,244
prevent,243
able,243
team,242
president,242
ca,241
realdonaldtrump,240
wait,239
higher,238
done,237
set,237
